74 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 7.67663, 'val_kl_Loss_FC': 0.00221, 'val_kl_Loss_TC': 130.75162, 'val_kl_Loss_MI': 6.05492}
75 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 15.32407, 'val_kl_Loss_FC': 0.00276, 'val_kl_Loss_TC': 131.00575, 'val_kl_Loss_MI': 6.08884}
76 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.63063, 'val_kl_Loss_FC': 0.00207, 'val_kl_Loss_TC': 130.5759, 'val_kl_Loss_MI': 6.04092}
77 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 10.54621, 'val_kl_Loss_FC': 0.00242, 'val_kl_Loss_TC': 130.73375, 'val_kl_Loss_MI': 6.05973}
78 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 12.40023, 'val_kl_Loss_FC': 0.00165, 'val_kl_Loss_TC': 130.48292, 'val_kl_Loss_MI': 6.04715}
79 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 16.31723, 'val_kl_Loss_FC': 0.00289, 'val_kl_Loss_TC': 130.80237, 'val_kl_Loss_MI': 6.08897}
80 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 11.3983, 'val_kl_Loss_FC': 0.00179, 'val_kl_Loss_TC': 130.56206, 'val_kl_Loss_MI': 6.05786}
81 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 12.3002, 'val_kl_Loss_FC': 0.0017, 'val_kl_Loss_TC': 130.53589, 'val_kl_Loss_MI': 6.06182}
82 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.77625, 'val_kl_Loss_FC': 0.00308, 'val_kl_Loss_TC': 130.50187, 'val_kl_Loss_MI': 6.04836}
83 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 9.54511, 'val_kl_Loss_FC': 0.0024, 'val_kl_Loss_TC': 130.57218, 'val_kl_Loss_MI': 6.06227}
84 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.53308, 'val_kl_Loss_FC': 0.00328, 'val_kl_Loss_TC': 130.46868, 'val_kl_Loss_MI': 6.05673}
85 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 10.99129, 'val_kl_Loss_FC': 0.00177, 'val_kl_Loss_TC': 130.50428, 'val_kl_Loss_MI': 6.06379}
86 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.6437, 'val_kl_Loss_FC': 0.00214, 'val_kl_Loss_TC': 130.39464, 'val_kl_Loss_MI': 6.05303}
87 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.01732, 'val_kl_Loss_FC': 0.00162, 'val_kl_Loss_TC': 130.22671, 'val_kl_Loss_MI': 6.03428}
88 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.06007, 'val_kl_Loss_FC': 0.0022, 'val_kl_Loss_TC': 130.39847, 'val_kl_Loss_MI': 6.05989}
89 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.92739, 'val_kl_Loss_FC': 0.00099, 'val_kl_Loss_TC': 130.25492, 'val_kl_Loss_MI': 6.05422}
90 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 13.74078, 'val_kl_Loss_FC': 0.00188, 'val_kl_Loss_TC': 130.49054, 'val_kl_Loss_MI': 6.08418}
91 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.79362, 'val_kl_Loss_FC': 0.00257, 'val_kl_Loss_TC': 130.2437, 'val_kl_Loss_MI': 6.05882}
92 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 9.05589, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 130.56754, 'val_kl_Loss_MI': 6.09446}
93 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.70551, 'val_kl_Loss_FC': 0.00286, 'val_kl_Loss_TC': 130.35328, 'val_kl_Loss_MI': 6.06339}
94 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 12.86304, 'val_kl_Loss_FC': 0.00196, 'val_kl_Loss_TC': 130.63832, 'val_kl_Loss_MI': 6.10872}
95 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 13.89201, 'val_kl_Loss_FC': 0.00178, 'val_kl_Loss_TC': 130.53804, 'val_kl_Loss_MI': 6.10808}
96 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 16.42982, 'val_kl_Loss_FC': 0.00165, 'val_kl_Loss_TC': 130.41949, 'val_kl_Loss_MI': 6.09738}
97 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.5959, 'val_kl_Loss_FC': 0.00195, 'val_kl_Loss_TC': 130.30104, 'val_kl_Loss_MI': 6.08428}
98 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 5.93897, 'val_kl_Loss_FC': 0.0027, 'val_kl_Loss_TC': 130.25278, 'val_kl_Loss_MI': 6.07359}
99 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.49118, 'val_kl_Loss_FC': 0.00225, 'val_kl_Loss_TC': 130.16388, 'val_kl_Loss_MI': 6.06629}
100 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.18965, 'val_kl_Loss_FC': 0.00218, 'val_kl_Loss_TC': 130.30783, 'val_kl_Loss_MI': 6.08035}
101 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.15305, 'val_kl_Loss_FC': 0.003, 'val_kl_Loss_TC': 130.42814, 'val_kl_Loss_MI': 6.0968}
102 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 17.69144, 'val_kl_Loss_FC': 0.00218, 'val_kl_Loss_TC': 130.70922, 'val_kl_Loss_MI': 6.13169}
103 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 17.28455, 'val_kl_Loss_FC': 0.00232, 'val_kl_Loss_TC': 130.45763, 'val_kl_Loss_MI': 6.10549}
104 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 12.40275, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 130.57114, 'val_kl_Loss_MI': 6.11835}
105 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 12.8809, 'val_kl_Loss_FC': 0.00239, 'val_kl_Loss_TC': 130.31805, 'val_kl_Loss_MI': 6.09711}
106 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 12.25533, 'val_kl_Loss_FC': 0.00214, 'val_kl_Loss_TC': 130.12807, 'val_kl_Loss_MI': 6.06536}
107 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.24511, 'val_kl_Loss_FC': 0.00154, 'val_kl_Loss_TC': 129.82212, 'val_kl_Loss_MI': 6.0346}
108 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 7.55665, 'val_kl_Loss_FC': 0.00239, 'val_kl_Loss_TC': 130.07961, 'val_kl_Loss_MI': 6.07016}
109 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.44963, 'val_kl_Loss_FC': 0.00117, 'val_kl_Loss_TC': 129.88954, 'val_kl_Loss_MI': 6.04762}
110 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 8.86898, 'val_kl_Loss_FC': 0.00234, 'val_kl_Loss_TC': 130.21563, 'val_kl_Loss_MI': 6.09547}
111 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.17004, 'val_kl_Loss_FC': 0.00233, 'val_kl_Loss_TC': 129.97158, 'val_kl_Loss_MI': 6.08235}
112 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.97066, 'val_kl_Loss_FC': 0.00164, 'val_kl_Loss_TC': 129.93088, 'val_kl_Loss_MI': 6.06992}
113 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.3211, 'val_kl_Loss_FC': 0.00135, 'val_kl_Loss_TC': 130.1461, 'val_kl_Loss_MI': 6.09746}
