101 not saved {'val_OrigRecLoss': 0.00206, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.07072, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00146, 'val_kl_Loss_DTC': 0.00339}
102 not saved {'val_OrigRecLoss': 0.00209, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.07515, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00013, 'val_kl_Loss_DTC': 0.00102}
103 saved {'val_OrigRecLoss': 0.00215, 'val_FeatRecLoss': 0.00307, 'val_kl_Loss_Z': 0.0725, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00272, 'val_kl_Loss_DTC': 0.00206}
104 not saved {'val_OrigRecLoss': 0.00209, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.07315, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00285, 'val_kl_Loss_DTC': 0.00082}
105 not saved {'val_OrigRecLoss': 0.00209, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.08255, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00047, 'val_kl_Loss_DTC': 0.00197}
106 not saved {'val_OrigRecLoss': 0.00204, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.07746, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00012, 'val_kl_Loss_DTC': 0.00104}
107 not saved {'val_OrigRecLoss': 0.00206, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.07822, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00124, 'val_kl_Loss_DTC': 0.00099}
108 not saved {'val_OrigRecLoss': 0.00205, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.07908, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00052, 'val_kl_Loss_DTC': 0.00096}
109 not saved {'val_OrigRecLoss': 0.00202, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08547, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 8e-05, 'val_kl_Loss_DTC': 0.00531}
110 not saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08337, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00057, 'val_kl_Loss_DTC': 0.00263}
111 not saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.07781, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00166, 'val_kl_Loss_DTC': 0.00202}
112 not saved {'val_OrigRecLoss': 0.00205, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.07109, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00013, 'val_kl_Loss_DTC': 0.00189}
