90 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.94786, 'val_kl_Loss_FC': 0.00236, 'val_kl_Loss_TC': 0.00479, 'val_kl_Loss_DTC': 0.00548}
91 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.96525, 'val_kl_Loss_FC': 0.00223, 'val_kl_Loss_TC': 0.00448, 'val_kl_Loss_DTC': 0.00334}
92 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.91737, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.00579, 'val_kl_Loss_DTC': 0.00744}
93 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.92649, 'val_kl_Loss_FC': 0.00219, 'val_kl_Loss_TC': 0.0039, 'val_kl_Loss_DTC': 0.00214}
94 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.87882, 'val_kl_Loss_FC': 0.00218, 'val_kl_Loss_TC': 0.00891, 'val_kl_Loss_DTC': 0.00278}
95 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.91193, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 0.00579, 'val_kl_Loss_DTC': 0.00204}
96 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.90972, 'val_kl_Loss_FC': 0.00208, 'val_kl_Loss_TC': 0.00635, 'val_kl_Loss_DTC': 0.01274}
97 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.90017, 'val_kl_Loss_FC': 0.00253, 'val_kl_Loss_TC': 0.00319, 'val_kl_Loss_DTC': 0.00334}
98 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.86635, 'val_kl_Loss_FC': 0.0019, 'val_kl_Loss_TC': 0.00451, 'val_kl_Loss_DTC': 0.00274}
99 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.89157, 'val_kl_Loss_FC': 0.00231, 'val_kl_Loss_TC': 0.00258, 'val_kl_Loss_DTC': 0.00466}
100 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.91711, 'val_kl_Loss_FC': 0.003, 'val_kl_Loss_TC': 0.00085, 'val_kl_Loss_DTC': 0.00202}
101 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.88852, 'val_kl_Loss_FC': 0.00288, 'val_kl_Loss_TC': 0.00158, 'val_kl_Loss_DTC': 0.00299}
102 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.85891, 'val_kl_Loss_FC': 0.00238, 'val_kl_Loss_TC': 0.00092, 'val_kl_Loss_DTC': 0.00442}
103 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.87198, 'val_kl_Loss_FC': 0.00276, 'val_kl_Loss_TC': 0.00566, 'val_kl_Loss_DTC': 0.00546}
104 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.82757, 'val_kl_Loss_FC': 0.0016, 'val_kl_Loss_TC': 0.00768, 'val_kl_Loss_DTC': 0.00186}
105 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.86076, 'val_kl_Loss_FC': 0.00255, 'val_kl_Loss_TC': 0.00071, 'val_kl_Loss_DTC': 0.00974}
106 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.85685, 'val_kl_Loss_FC': 0.0027, 'val_kl_Loss_TC': 0.00357, 'val_kl_Loss_DTC': 0.00234}
107 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.84365, 'val_kl_Loss_FC': 0.00181, 'val_kl_Loss_TC': 0.00559, 'val_kl_Loss_DTC': 0.00976}
108 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.84581, 'val_kl_Loss_FC': 0.00252, 'val_kl_Loss_TC': 0.00453, 'val_kl_Loss_DTC': 0.00393}
109 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.84185, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 0.00326, 'val_kl_Loss_DTC': 0.00285}
110 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.81385, 'val_kl_Loss_FC': 0.00188, 'val_kl_Loss_TC': 0.00174, 'val_kl_Loss_DTC': 0.00267}
111 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.8054, 'val_kl_Loss_FC': 0.00199, 'val_kl_Loss_TC': 0.0084, 'val_kl_Loss_DTC': 0.00588}
112 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.81773, 'val_kl_Loss_FC': 0.00249, 'val_kl_Loss_TC': 0.00059, 'val_kl_Loss_DTC': 0.00569}
