52 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.57155, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.19228, 'val_kl_Loss_MI': 6.06049}
53 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.1919, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.14352, 'val_kl_Loss_MI': 6.06075}
54 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 10.07966, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.08734, 'val_kl_Loss_MI': 6.06146}
55 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 8.27877, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.29051, 'val_kl_Loss_MI': 6.07589}
56 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 9.96782, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.24815, 'val_kl_Loss_MI': 6.07237}
57 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.1549, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.13744, 'val_kl_Loss_MI': 6.06961}
58 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 8.39259, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.34969, 'val_kl_Loss_MI': 6.08652}
59 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 11.21216, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.16953, 'val_kl_Loss_MI': 6.07845}
60 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.20347, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.1434, 'val_kl_Loss_MI': 6.07593}
61 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.92736, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.2997, 'val_kl_Loss_MI': 6.08986}
62 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.86216, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.46927, 'val_kl_Loss_MI': 6.10915}
63 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 15.8766, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.54834, 'val_kl_Loss_MI': 6.11449}
64 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 13.21294, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.37221, 'val_kl_Loss_MI': 6.10833}
65 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 7.54297, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.60962, 'val_kl_Loss_MI': 6.12754}
66 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 5.3381, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.20294, 'val_kl_Loss_MI': 6.09746}
67 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 5.16909, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.38364, 'val_kl_Loss_MI': 6.11067}
68 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 10.2942, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.36182, 'val_kl_Loss_MI': 6.11191}
69 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 13.28776, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 226.34594, 'val_kl_Loss_MI': 6.11066}
70 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 19.51568, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.11337, 'val_kl_Loss_MI': 6.10191}
71 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 7.38008, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.50117, 'val_kl_Loss_MI': 6.13623}
72 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 7.64516, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 226.5181, 'val_kl_Loss_MI': 6.13493}
73 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 5.01946, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.44294, 'val_kl_Loss_MI': 6.13445}
74 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 12.78678, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.52294, 'val_kl_Loss_MI': 6.13837}
