82 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 7.36136, 'val_kl_Loss_FC': 0.00228, 'val_kl_Loss_TC': 128.37443, 'val_kl_Loss_MI': 6.00438}
83 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 3.35144, 'val_kl_Loss_FC': 0.00269, 'val_kl_Loss_TC': 128.32161, 'val_kl_Loss_MI': 5.99642}
84 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.33989, 'val_kl_Loss_FC': 0.00258, 'val_kl_Loss_TC': 128.32063, 'val_kl_Loss_MI': 6.00108}
85 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.90761, 'val_kl_Loss_FC': 0.00234, 'val_kl_Loss_TC': 128.34062, 'val_kl_Loss_MI': 5.99554}
86 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.96938, 'val_kl_Loss_FC': 0.00208, 'val_kl_Loss_TC': 128.23802, 'val_kl_Loss_MI': 5.98825}
87 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 4.85136, 'val_kl_Loss_FC': 0.00261, 'val_kl_Loss_TC': 128.43175, 'val_kl_Loss_MI': 6.01686}
88 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 2.15141, 'val_kl_Loss_FC': 0.00256, 'val_kl_Loss_TC': 128.24041, 'val_kl_Loss_MI': 6.00376}
89 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.23972, 'val_kl_Loss_FC': 0.00259, 'val_kl_Loss_TC': 128.08293, 'val_kl_Loss_MI': 5.99015}
90 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.58473, 'val_kl_Loss_FC': 0.00214, 'val_kl_Loss_TC': 128.21239, 'val_kl_Loss_MI': 6.0034}
91 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 7.22882, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 128.08589, 'val_kl_Loss_MI': 5.99095}
92 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.38291, 'val_kl_Loss_FC': 0.00251, 'val_kl_Loss_TC': 128.36892, 'val_kl_Loss_MI': 6.02299}
