87 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.32618, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00214, 'val_kl_Loss_DTC': 0.00118}
88 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.32295, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00014, 'val_kl_Loss_DTC': 0.00086}
89 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.31863, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.01029, 'val_kl_Loss_DTC': 0.00119}
90 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.32422, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00873, 'val_kl_Loss_DTC': 0.00288}
91 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.31275, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00126, 'val_kl_Loss_DTC': 0.00466}
92 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.32861, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00251, 'val_kl_Loss_DTC': 0.00141}
93 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.32456, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00271, 'val_kl_Loss_DTC': 0.00504}
94 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.32029, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00981, 'val_kl_Loss_DTC': 0.0007}
95 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.30921, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00694, 'val_kl_Loss_DTC': 0.0035}
96 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.33175, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.0001, 'val_kl_Loss_DTC': 0.00359}
