68 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.52639, 'val_kl_Loss_FC': 0.00081, 'val_kl_Loss_TC': 200.68826, 'val_kl_Loss_MI': 4.10801}
69 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 7.23756, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 200.88472, 'val_kl_Loss_MI': 3.77263}
70 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.09083, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 200.16736, 'val_kl_Loss_MI': 3.96219}
71 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 15.06266, 'val_kl_Loss_FC': 0.00146, 'val_kl_Loss_TC': 200.12767, 'val_kl_Loss_MI': 3.99495}
72 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 10.39917, 'val_kl_Loss_FC': 0.00047, 'val_kl_Loss_TC': 199.64667, 'val_kl_Loss_MI': 4.37328}
73 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 14.40274, 'val_kl_Loss_FC': 0.0005, 'val_kl_Loss_TC': 199.73364, 'val_kl_Loss_MI': 4.36165}
74 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 5.30871, 'val_kl_Loss_FC': 0.00062, 'val_kl_Loss_TC': 200.12394, 'val_kl_Loss_MI': 4.00484}
75 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 11.55056, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 199.02936, 'val_kl_Loss_MI': 4.89492}
76 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 18.48561, 'val_kl_Loss_FC': 0.00015, 'val_kl_Loss_TC': 199.4554, 'val_kl_Loss_MI': 4.55432}
77 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.93856, 'val_kl_Loss_FC': 0.0004, 'val_kl_Loss_TC': 199.76166, 'val_kl_Loss_MI': 4.18379}
